"","ARID1A_mut","CHD6_mut","CHD7_mut","CREBBP_mut","EP300_mut","KDM6A_mut","CHD6_amp","CHD7_amp","PRDM9_amp","CHD3_del","CREBBP_del","HDAC4_del","PHF23_del","CHD6_ampmut","CHD7_ampmut","CREBBP_delmut","EP300CREBBP_mut","EP300CREBBP_delmut"
"HLA-DOB",-0.218613861666038,-0.222840467941846,0.16726646582417,0.341361158395611,0.425990638177087,-0.59820061577898,-0.594108379591702,-0.613781273677373,-0.0756924995738543,-0.587517707853013,-0.545842926490419,-0.570781785228982,-0.58583088177124,-0.582316587148169,-0.580968999159724,-0.343481838195179,0.430951023516224,0.184261410867378
"PNOC",-0.022060899247334,-0.0180392110102583,0.0329651482286087,0.141584549391765,0.191396930062292,-0.408614750591167,-0.43941496685972,-0.38701899211909,-0.419601510269537,-0.499910889249871,-0.425345210919921,-0.445692596709871,-0.503923281753905,-0.403891544367199,-0.406371380350396,-0.324755552489122,0.210861044151682,0.0305713641741414
"FCRL2",-0.0718051833787751,-0.105991043630168,0.0333371832377811,0.128732801534074,0.209362832823965,-0.42179265435895,-0.441274542412379,-0.435761177915909,-0.367909522115067,-0.46253593757095,-0.484676370663233,-0.451839428232507,-0.463446586580295,-0.428085222940098,-0.457931436147349,-0.413752189748294,0.213899825848756,-0.0085255249576619
"BACH2",-0.165766566744562,-0.197559005339819,0.174317663243307,0.568196041444999,0.509222151822468,-0.712800512814895,-0.683639819624287,-0.587735801384586,-0.16038292911585,-0.684161574856239,-0.525263695765637,-0.66052639855315,-0.681940625562084,-0.6624206545104,-0.548149367939387,-0.192656308361759,0.573130011933406,0.35509109779209
"CR2",0.0129068769035105,-0.0441357060919896,0.077308706319868,0.24650904206906,0.244947729174784,-0.40349090078476,-0.387811627289835,-0.346680799043663,-0.239435919602421,-0.415626386798373,-0.328800756206424,-0.362552476932964,-0.411110292133314,-0.361756259669599,-0.338595735861346,-0.196897347314996,0.268196031946371,0.114070979491876
"TCL1A",-0.0527423658530258,-0.0734112034439424,0.0071635585643135,0.114427814821009,0.176494615846922,-0.395570940329378,-0.417767938634851,-0.407843994941559,-0.36576963104619,-0.448714547148593,-0.435615392525475,-0.428103955646151,-0.448078190874046,-0.400805097212946,-0.428750167585059,-0.364006532602814,0.188497927140829,-0.0135283643665476
"AKNA",-0.0167813303150568,-0.104407939443176,-0.0615386708440067,0.0169187924113855,0.128000180926975,-0.27573836404557,-0.308370946944225,-0.29533678390287,-0.310695257840375,-0.320067769873609,-0.360648594935953,-0.271172078161867,-0.32461815397239,-0.304280477802698,-0.343315472684091,-0.35076598897971,0.0976606354141231,-0.0585166249627633
"ARHGAP25",-0.390262346787395,-0.310796526661157,0.0306824083750116,0.309805226970173,0.364263102828991,-0.529057201640748,-0.609160683398705,-0.607921492527532,-0.237945496273992,-0.544576638350004,-0.641933204899908,-0.598726461270363,-0.546415238222455,-0.627548979047897,-0.626306961192488,-0.462221640334635,0.381013249456713,0.117624718372739
"CCL21",-0.179331105528389,-0.123658541609218,0.0435308278918428,0.318085089018364,0.312318237359002,-0.583509488845988,-0.613810345374225,-0.596552046812933,-0.324749049710427,-0.652784906066087,-0.584298393162881,-0.641425355762186,-0.655422130806286,-0.583140496620674,-0.60625953034475,-0.367082553524728,0.361904993234304,0.0997530788395257
"CD27",-0.235657915148782,-0.168059074070868,0.0954225475295517,0.229895815038919,0.358591964085995,-0.54265000065374,-0.605615061605282,-0.605705348406341,-0.34800950290667,-0.610993752012017,-0.636057615347131,-0.610089470509433,-0.613495632839801,-0.586686283579711,-0.610595854015961,-0.483098169492532,0.356274013903814,0.0876027564507357
"CD38",-0.311367080166757,-0.15166513773352,0.297480154471403,0.506592384919989,0.618777598586147,-0.675592680343755,-0.74001715989415,-0.697888337790949,-0.100173295038328,-0.695163994220072,-0.648618162912101,-0.704922087918263,-0.690064441451238,-0.707398008954563,-0.636373723618905,-0.355117186179833,0.626359786513837,0.3702780282865
"CLEC17A",-0.0892777500321196,-0.138417691197667,0.0122963334251877,0.157147605906997,0.195863835853618,-0.411406146299038,-0.418540609942219,-0.436351866200997,-0.303414422983641,-0.411637161879985,-0.468824010685041,-0.429700508825342,-0.410017801199503,-0.413692074743494,-0.451532967290025,-0.389558466924732,0.215274818720112,-0.0148031902205459
"CLEC9A",-0.155948029850087,-0.181814281118488,-0.0317946966220828,0.141494389485192,0.21432861613332,-0.394194887416676,-0.457949352584741,-0.442055629768774,-0.35622762877254,-0.431141099225669,-0.488672603514222,-0.458114872100625,-0.432635877417252,-0.463753814958704,-0.473114216613076,-0.42576104357145,0.225172516661265,-0.00253856269953973
"CLECL1",-0.292226169356783,-0.201838318018912,0.0989742942532366,0.270244430114691,0.361652145784595,-0.522461094618037,-0.583147484998396,-0.590337082276777,-0.221533779642225,-0.566358031395088,-0.590006582961138,-0.571697274349891,-0.565338078694255,-0.57400343494889,-0.584112295567422,-0.429291216687926,0.367394880684641,0.104126460456379
"AIM2",-0.535424904320368,-0.389356353029867,0.200177022485236,0.317270178646638,0.468437468693903,-0.309129953657215,-0.403293317900842,-0.543475195738719,0.215390460999051,-0.242592274229497,-0.513338880120966,-0.453602139889505,-0.234526169344327,-0.442056188870246,-0.486857153862821,-0.393442499849872,0.444735378860307,0.213736584393916
"BIRC3",-0.159465219439331,-0.222486466697599,0.104178953740294,0.295774789734232,0.456403136397383,-0.565012857476542,-0.595456471337386,-0.608803899541711,-0.114311217719818,-0.577873691062243,-0.55684817435141,-0.550175078651995,-0.581987659508154,-0.585691361903069,-0.601845455146189,-0.381918469075092,0.413033314946158,0.163722127263045
"BRIP1",0.222845670350345,0.127375947525523,0.636607817105444,0.446612937480189,0.450430956040046,-0.210048797277332,-0.0709959923968266,-0.0331227112472618,0.51157278900699,-0.0277316527855863,0.210760313809357,0.0790760426888717,-0.00951421460554209,-0.0150522762344997,0.165981417527513,0.421659856580035,0.434304425890791,0.582646170090439
"CCL20",-0.23508135067848,-0.223727827109401,0.175584014161784,0.257356575917375,0.388704023236409,-0.287899936052732,-0.348627629277904,-0.358403165374677,0.217190336854215,-0.257511176638265,-0.320100262542952,-0.31759528914819,-0.251468850406273,-0.364553800454561,-0.316109973765149,-0.192289461314995,0.354688419253134,0.236994424170406
"CCL4",-0.356368203549217,-0.19628404423223,0.329740486834051,0.535862170743038,0.684150297140325,-0.714507600987272,-0.766783396079866,-0.744904305925267,-0.0218668104423669,-0.730886793553788,-0.653805184662357,-0.73274235524969,-0.725899993581863,-0.735948331918149,-0.669236895835398,-0.337787055389939,0.674287391293075,0.421843540829403
"CCL5",-0.257573401755769,-0.110735966409776,0.259039192952612,0.337780944785116,0.515163412042457,-0.601324760033231,-0.664406080701205,-0.676800638615683,-0.100359168315446,-0.658206328132978,-0.612345227043918,-0.640551989825685,-0.657708248891911,-0.624852510944845,-0.623534076288283,-0.395104759192203,0.490111033329788,0.245270367447845
"CCNB1",-0.12949830575316,0.188746942881849,0.531292769175697,0.557437423826033,0.569905660010651,-0.287559220897348,-0.251728789050808,-0.133264201795771,0.513413508955002,-0.241305169034207,0.0848010386339165,-0.164218086266123,-0.2236124897566,-0.189643096805473,0.042420838264359,0.417518148353759,0.570479361073349,0.69857053554738
"CCR7",0.272274248543485,0.171563650781255,-0.168355907389418,-0.336474701496994,-0.264103558077382,0.0319035744032148,0.0589834306934839,0.0875737798648772,-0.488080375395204,-0.0521834740876881,-0.0683002864794897,0.00477212565519771,-0.0556885808575727,0.0829604953724039,0.00991228928809829,-0.213611503845935,-0.272668789496058,-0.304030819779417
"DUSP2",-0.0374084189703347,-0.107332277690396,-0.361875505985962,-0.338518257546015,-0.369003746107155,0.302728640280776,0.260125284862808,0.230080982490015,-0.166950189602282,0.276814914884813,0.0977113444393755,0.240675104978283,0.267698774961827,0.207789330326365,0.110243541136681,-0.109743695030622,-0.373446351441461,-0.342700603667093
"ESCO2",0.0702569127709355,0.0857316464248724,0.477662232660075,0.403292764935221,0.415339780505896,-0.202417177320097,-0.110477474061539,-0.065894523107237,0.43815901855597,-0.0582858723948901,0.146293770988148,-0.00757614039650571,-0.0436344978269328,-0.0693676496207778,0.101121393872724,0.320040383466243,0.409448699251662,0.492833595594994
"ETS1",-0.0341764695281163,-0.23634646243592,-0.0266966232736404,0.135405288792316,0.217093464684433,-0.41850087866196,-0.418198921434935,-0.407359734772362,-0.336137760343139,-0.382201167473712,-0.499909713198941,-0.409627505988789,-0.390293409134197,-0.432242847818858,-0.44189629138572,-0.39145600629852,0.209595243034046,0.00196104345392423
"EXO1",-0.0533476614305034,0.20349779194882,0.597955171808185,0.570158321704417,0.560943944087911,-0.3053246950126,-0.218417199935969,-0.107091807365071,0.55597993689465,-0.207867425758983,0.147167309039882,-0.0994661947488066,-0.190800216688323,-0.144818968779849,0.0861436793408604,0.457099457890483,0.563316667084825,0.696014411964362
"EXOC6",0.36328475750308,0.0928537025185954,-0.0435362601334124,-0.110426941722785,-0.114107144813315,0.0998974864932006,0.145887038667134,0.18774937090772,-0.175459234714233,0.117802012883273,0.198561701222423,0.243438305138291,0.112018180334015,0.156663501622512,0.179953432506287,0.0899404955208206,-0.136917018478934,-0.107823466157998
"IARS",0.0185911301257195,0.0210557301021849,0.508511695409437,0.629321972627021,0.64502357174585,-0.501040683479918,-0.44589806390468,-0.289453476854599,0.338650065674372,-0.403210252340124,-0.111614628369986,-0.317345560981402,-0.386930534996118,-0.382849606925545,-0.136497918102981,0.248307785054513,0.653125001104291,0.669222554667686
"ITK",-0.213930293538627,-0.267793096353404,0.165261014826522,0.316411047626173,0.470215353945331,-0.619356372462835,-0.666460650163188,-0.686784195901569,-0.283128957806069,-0.62406860243556,-0.685212745831175,-0.639618431285936,-0.625092324237658,-0.661881376810429,-0.666507913812146,-0.5064515543402,0.456969429209291,0.156840841163974
"KIF11",0.00172198662059154,0.216689736033904,0.616562733778324,0.551015399641892,0.548460336177868,-0.259216232824747,-0.181031750210522,-0.0834900248103182,0.532914751237777,-0.153614776079899,0.149975917630168,-0.0776106048650274,-0.133783306730236,-0.11690550558665,0.113476904070892,0.434396302870343,0.549249771456013,0.680715304690567
"KNTC1",0.170384445086013,0.280117892299684,0.468642916938617,0.264908188394453,0.23061439903091,-0.0378807019825285,0.128459389138233,0.139031779187108,0.53220570831674,0.105163274226988,0.378118649224647,0.231517797100999,0.119145537022712,0.188005743017968,0.30018841848268,0.513289298346108,0.215063160122847,0.436876804631731
"NUF2",0.0788255012330951,0.445532146164967,0.532271789067417,0.374980166940472,0.349045945910609,-0.11299808365823,-0.015016585561674,0.101386070248432,0.468263747711468,-0.0709466968635673,0.311809972963432,0.082549875948409,-0.0571471279079506,0.0842040149533318,0.268567189105086,0.542540455024275,0.352914850182217,0.565438671939463
"PRC1",0.0444391281440037,0.212737612421202,0.617814204251713,0.56572808442505,0.558871234766532,-0.300400972341142,-0.185669417439876,-0.103063355184742,0.59961902857056,-0.173284223909853,0.18000608508303,-0.054625634878763,-0.153967265645678,-0.107261426404242,0.0973194537842891,0.492112891365013,0.551756599505772,0.696225022271333
"PSAT1",0.202303037841654,0.374260346142987,0.387090259591338,0.312840231939901,0.315858037345165,-0.158656171959782,-0.142637420575001,0.0258736175606591,0.264965611506673,-0.172140532200938,0.191826058502313,-0.01855826643688,-0.161246042664136,-0.0456367092351559,0.148504825838351,0.373532221080042,0.314336589901094,0.456378046914506
"RGS1",-0.284609086421254,-0.236163061849816,0.138013004833082,0.343424488254058,0.468841335877148,-0.638589179506769,-0.714130785466899,-0.71700388462937,-0.245688761077802,-0.689260217161842,-0.710220713240992,-0.706609594571625,-0.692965509735249,-0.699532593535182,-0.703403087985283,-0.511290974040866,0.474483642540596,0.160676935450415
"RTKN2",0.273095134018476,0.15568713202828,0.179024944953321,0.0865479380508864,0.0747099426086913,0.0167375120632707,0.107157888115748,0.105173698730437,0.252216797161425,0.0812358584543253,0.251481958011514,0.178710266298358,0.0857842990016153,0.147573334614899,0.183204817463411,0.256286240609554,0.0467205042208638,0.125491762698724
"SAMSN1",-0.300839331545502,-0.268705357947412,0.232713964700158,0.475737939997972,0.61875276293513,-0.755435671802708,-0.803093851274493,-0.77960073091671,-0.181124863995567,-0.761025325889413,-0.750428729790157,-0.778592204379634,-0.760157265119152,-0.788151650728955,-0.736486751516235,-0.463071638247821,0.617984530036882,0.305458446692446
"SELL",0.175858369515784,0.102865466305708,0.0397829088322401,-0.0388970027255659,-0.00260418231078378,-0.180756295958367,-0.171128825306878,-0.121450059030959,-0.311067536294057,-0.255635327546733,-0.193738159795977,-0.144473193301037,-0.261931020883991,-0.125299174414664,-0.144615425932843,-0.178541530691682,-0.000930431104456705,-0.0660134331211564
"TRAT1",-0.216602704165071,-0.265769325703755,0.128914057371322,0.266649236561368,0.405618837062058,-0.519540108094417,-0.575406800382213,-0.599779438231461,-0.263813683376692,-0.531984839501388,-0.597841123597365,-0.548267566493766,-0.53265593397744,-0.578431278464177,-0.59446646698561,-0.463692600038119,0.388808941533164,0.125082869093867
"ADRM1",-0.322248788018959,0.167577956733717,-0.0139976345211495,-0.0274450672839857,0.0294188321658478,0.0375985336434064,0.00304678199112256,-0.0225149838985593,0.092550685172575,-0.0788756801988501,-0.00213242935808735,-0.103232090791418,-0.0765209792248481,0.0250050267309005,-0.0239295360106521,0.0375421706501816,0.0139974578346504,0.0513203605394027
"AHSA1",-0.200956863404728,0.0860184086129721,-0.0202350213136924,0.101444906852645,0.0416326397917078,0.0402705635698588,-0.0265515636578487,0.0835612294694705,0.0836343776801133,-0.026299608710079,0.0541155409557538,-0.05917672572354,-0.0260803407646497,-0.0188831929087934,0.0801548904526037,0.148917212127337,0.0787477591734747,0.150849278995403
"C1GALT1C1",0.102793554900559,-0.0792739315679054,0.0860532158533022,-0.0692335445679326,0.0244283219977165,0.0224768196147457,0.0278523296644971,-0.0386037031369981,0.0644767906381598,0.0217856220301208,0.0349424055018762,0.0728764668071442,0.0159784668629771,0.0330234134347467,-0.0192802074723547,0.000833783589428635,-0.0240814863999101,-0.0277551520899716
"CCT6B",0.0583535433240596,0.0393887212526649,-0.262830531851099,-0.330944590760498,-0.393012791042419,0.268569132656577,0.248715047435024,0.191774819417564,-0.202410109860131,0.204505965112897,0.152714381680296,0.238444614613175,0.194237652529038,0.23533687577985,0.11512379892935,-0.0463494625726756,-0.373812975927171,-0.355183151458141
"CD37",-0.236633754683517,-0.13176731377508,0.126267769802934,0.345393659286943,0.450465409907377,-0.670218536463323,-0.718950616476864,-0.707202731149229,-0.345690139232495,-0.743642024671796,-0.700515677216382,-0.72219546403352,-0.743732664845853,-0.690608865209757,-0.702294380203196,-0.476966264539974,0.462223189678964,0.160492121372317
"CD3D",-0.336068205241199,-0.251093468764741,0.0543088455814506,0.215504914447502,0.373570274682187,-0.51623705042334,-0.594975282437845,-0.61939972164805,-0.255113440703386,-0.558773272487213,-0.652031780252852,-0.601975249397464,-0.562274316086204,-0.598349995167633,-0.629354770827862,-0.518257814271014,0.358663938862226,0.0828071461220588
"CD3E",-0.312219532268432,-0.246534205976173,0.168453261650443,0.311080081035496,0.468555280435045,-0.592223108403175,-0.667623718536993,-0.69442759051561,-0.240994200795725,-0.626587218993375,-0.695967766728589,-0.661786349978497,-0.627204738307859,-0.661048330471601,-0.675877981717188,-0.513049534766779,0.456794673679472,0.162044842326735
"CD3G",-0.188696762485594,-0.247580932513972,0.232542424528959,0.307986304174262,0.482516517563686,-0.547607320999927,-0.586902011391841,-0.614139462761546,-0.170664528982222,-0.524790003276165,-0.607476619049529,-0.548577872200821,-0.525685108388805,-0.581601437797955,-0.568538486517329,-0.447674471544269,0.454365232075826,0.197157590727065
"CD69",-0.196452073100332,-0.292520944087246,0.032330450413219,0.241438136289523,0.357849543223417,-0.521169450885282,-0.567772018926483,-0.598091600204197,-0.179930736238981,-0.517027212416539,-0.600208746273627,-0.559127896604117,-0.520248207438087,-0.579850396884275,-0.603125222100461,-0.481437249323258,0.348730134197378,0.0664898712030457
"CD8A",-0.289416549376279,-0.172212266919587,0.2647348589388,0.420679069823324,0.554235511088668,-0.585543298616792,-0.635436208929665,-0.635337794549645,-0.0900521613882753,-0.589962051273715,-0.579924491257729,-0.600361111866937,-0.588433889742677,-0.610054663269103,-0.577462011519253,-0.350737719139848,0.539368225618765,0.310854805749096
